Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20200102,0.86,-0.97,-0.33,0.24,-0.22,0.006
20200103,-0.67,0.3,0.01,-0.14,-0.1,0.006
20200106,0.36,-0.21,-0.55,-0.17,-0.26,0.006
20200107,-0.19,-0.03,-0.25,-0.13,-0.25,0.006
20200108,0.47,-0.17,-0.64,-0.2,-0.17,0.006
20200109,0.65,-0.71,-0.49,-0.14,0.04,0.006
20200110,-0.34,-0.27,-0.33,0.04,-0.08,0.006
20200113,0.73,-0.1,-0.08,0.34,0.27,0.006
20200114,-0.06,0.47,-0.18,-0.33,-0.06,0.006
20200115,0.16,0.27,-0.81,-0.08,-0.18,0.006
20200116,0.88,0.52,-0.11,0.03,-0.1,0.006
20200117,0.28,-0.63,-0.13,0.23,0,0.006
20200121,-0.32,-0.67,-0.61,-0.11,-0.25,0.006
20200122,0.08,-0.24,0.01,-0.27,0.01,0.006
20200123,0.08,-0.06,-0.13,0.28,-0.07,0.006
20200124,-0.97,-0.5,-0.28,0.16,-0.03,0.006
20200127,-1.56,0.26,-0.41,-0.53,0.03,0.006
20200128,1.02,-0.13,-0.42,0.17,-0.05,0.006
20200129,-0.1,-0.42,-0.97,0.25,0.08,0.006
20200130,0.34,-0.64,0.68,-0.45,-0.24,0.006
20200131,-1.74,-0.5,-0.35,-0.44,-0.66,0.006
20200203,0.84,0.36,-0.68,-0.68,-0.42,0.006
20200204,1.57,-0.14,-0.68,0.38,-0.17,0.006
20200205,0.97,0.74,1.46,0.96,0.67,0.006
20200206,0.27,-0.59,-0.83,-0.04,-0.4,0.006
20200207,-0.55,-0.84,-0.03,-0.23,-0.57,0.006
20200210,0.73,-0.17,-0.88,-0.12,-0.51,0.006
20200211,0.28,0.34,1.04,0.24,0.33,0.006
20200212,0.66,0.15,-0.35,0.21,0.06,0.006
20200213,-0.09,0.16,0,-0.11,-0.4,0.006
20200214,0.15,-0.56,-0.66,-0.23,-0.31,0.006
20200218,-0.19,-0.01,-0.64,-0.42,-0.68,0.006
20200219,0.6,0.19,0.03,0.18,-0.24,0.006
20200220,-0.35,0.63,0.66,0.17,-0.05,0.006
20200221,-1.12,-0.07,0.02,-0.23,0.38,0.006
20200224,-3.39,0.15,0.01,-0.35,0.22,0.006
20200225,-3.09,-0.35,-0.68,-0.62,-0.05,0.006
20200226,-0.52,-0.74,-1.2,-0.47,-0.18,0.006
20200227,-4.22,0.71,0.05,-0.41,0,0.006
20200228,-0.78,0.09,-0.8,0.25,-0.51,0.006
20200302,4.31,-1.91,-0.43,-0.52,0.42,0.006
20200303,-2.79,0.68,-0.63,-0.44,0.33,0.006
20200304,4.03,-1.23,-1.17,0.07,0.28,0.006
20200305,-3.38,-0.14,-1.4,-0.88,0.05,0.006
20200306,-1.78,-0.21,-1.49,0.69,0.35,0.006
20200309,-7.78,-1.33,-4.75,0.08,0.47,0.006
20200310,4.74,-2.39,0.79,0.52,0.07,0.006
20200311,-5.05,-1.05,-0.81,0.03,0.1,0.006
20200312,-9.63,-1.08,-1.18,-0.33,-0.14,0.006
20200313,8.96,-2.05,2.98,1.22,0.37,0.006
20200316,-12,-0.83,-0.76,0.49,1.38,0.006
20200317,5.87,0.44,-0.69,-0.51,-0.2,0.006
20200318,-5.56,-4.56,-4.71,0.13,0.06,0.006
20200319,1.31,5.73,0.87,-1.39,-1.7,0.006
20200320,-4.15,0.22,-0.89,-0.98,-1.13,0.006
20200323,-2.55,1.7,-3.3,0.3,-1.05,0.006
20200324,9.34,-0.28,2.39,0.47,0.16,0.006
20200325,1.18,-0.18,1.93,-0.07,0.23,0.006
20200326,6.02,-0.51,1.09,-0.62,-0.02,0.006
20200327,-3.48,-1.1,-0.76,-1.11,0.78,0.006
20200330,3.16,-0.78,-2.11,-0.26,-0.13,0.006
20200331,-1.44,1.52,-0.39,0.41,-0.05,0.006
20200401,-4.51,-2,-1.42,0.23,0.23,0
20200402,2.1,-0.97,-0.28,-0.27,0.8,0
20200403,-1.64,-1.36,-1.15,-0.23,0.35,0
20200406,7.06,1.17,0.3,1.31,-0.79,0
20200407,-0.11,0.12,2.1,0.9,-0.34,0
20200408,3.4,0.85,1.29,0.45,-0.09,0
20200409,1.59,2.44,3.17,-0.87,-0.07,0
20200413,-0.92,-1.45,-2.4,-0.49,0.04,0
20200414,3.02,-0.72,-3.13,0.25,-0.33,0
20200415,-2.15,-1.95,-2.54,-0.4,-0.22,0
20200416,0.62,-0.8,-2.97,-0.29,-0.3,0
20200417,2.72,1.51,2.77,-0.15,-0.02,0
20200420,-1.56,0.38,-0.91,-1.75,-0.38,0
20200421,-3.08,0.93,0.16,0.26,0.41,0
20200422,2.31,-0.88,-1.65,0.1,0.04,0
20200423,0.13,1.25,0.55,0.51,-0.24,0
20200424,1.44,0.24,-0.12,-0.18,0.15,0
20200427,1.73,2.15,2.7,-0.13,0.14,0
20200428,-0.45,1.72,2.84,1.35,0.74,0
20200429,2.92,2.31,2,1.24,-0.87,0
20200430,-1.18,-2.05,-1.68,0.64,-0.04,0
20200501,-2.91,-0.9,-0.97,-0.36,0.36,0
20200504,0.53,-0.13,-1.29,-0.75,-0.44,0
20200505,0.95,-0.29,-2.01,-0.49,-0.52,0
20200506,-0.52,0.1,-2.7,0.21,-0.57,0
20200507,1.33,0.15,0.39,-0.1,-0.61,0
20200508,1.9,1.89,2.45,0.84,0.42,0
20200511,0.07,-0.22,-3.78,-0.85,-0.04,0
20200512,-2.06,-1.12,-1.35,-0.64,-0.02,0
20200513,-1.89,-1.43,-2.09,-0.08,-0.27,0
20200514,1.14,-1.08,0.92,0.61,0.17,0
20200515,0.57,1.34,-1.16,0.01,-0.77,0
20200518,3.24,2.65,4.61,1.67,0.31,0
20200519,-1.01,-0.75,-1.49,0.51,-0.59,0
20200520,1.8,1.22,1.31,-0.25,-0.26,0
20200521,-0.7,0.75,0.41,0.15,0.03,0
20200522,0.27,0.25,-0.86,-0.55,-0.34,0
20200526,1.23,1.24,4.56,1.04,0.58,0
20200527,1.54,1.42,3.61,0.77,0.36,0
20200528,-0.41,-2.08,-2.43,-0.25,0.09,0
20200529,0.6,-0.79,-1.97,-0.32,-0.38,0
20200601,0.52,0.26,0.43,-0.01,-0.14,0
20200602,0.81,0.06,0.54,0.14,0.26,0
20200603,1.42,0.77,2.63,0.74,0.16,0
